Id,Fitness,Pbest,X,Y,V1,V2,XB,YB
3,177.418,8.25957,9.85578,-8.96001,11.4947,-2.08786,2.59494,-1.23526
2,3.45813,0.115185,0.0594898,1.85865,0.218567,-0.311049,-0.161864,0.298303
8,11.9502,1.55815,-0.0182595,3.45686,2.00272,4.66739,1.03962,0.690899
4,13.394,0.729394,-0.805154,-3.57012,-1.24255,1.06707,0.258928,-0.813849
1,15.0239,0.330167,2.92031,-2.54866,6.96509,0.60693,0.211855,-0.53412
6,15.2212,0.927829,1.40578,-3.63937,5.08703,2.19074,-0.752286,-0.601577
7,19.1895,0.494295,-4.37916,-0.111691,-5.63513,0.478917,-0.667974,-0.219328
10,28.5295,2.78863,-5.15407,-1.40182,-6.47456,0.208419,-0.293269,-1.64396
9,60.6679,6.88526,-6.37178,-4.47978,-11.8683,-0.660767,1.35222,2.24873
3,74.5057,8.25957,-3.08556,-8.06133,-12.9413,0.898683,2.59494,-1.23526
5,87.5873,1.86246,0.688545,-9.33345,-0.567792,-1.94293,1.26942,0.501027
2,0.330646,0.115185,0.338877,0.464552,0.279387,-1.3941,-0.161864,0.298303
6,3.39475,0.927829,1.77671,-0.487921,0.370928,3.15145,-0.752286,-0.601577
4,3.90607,0.729394,1.14158,-1.61334,1.94673,1.95678,0.258928,-0.813849
7,4.96005,0.494295,2.227,-0.0228974,6.60616,0.0887934,-0.667974,-0.219328
1,6.67128,0.330167,2.16475,-1.40895,-0.755557,1.13971,0.211855,-0.53412
10,13.4695,2.78863,3.41293,-1.34959,8.567,0.0522272,-0.293269,-1.64396
